name,link,dir_cn
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
Terrence Malick,/name/nm0000517/,"Ottawa, Illinois, USA"
Edward Yang,/name/nm0945981/,"Shanghai, China"
Jean-Luc Godard,/name/nm0000419/,"Paris, France"
Mohammad Rasoulof,/name/nm1488024/,"Shiraz, Iran"
Raoul Ruiz,/name/nm0749914/,"Puerto Montt, Chile"
Abbas Kiarostami,/name/nm0452102/,"Tehran, Iran"
Johnnie To,/name/nm0864775/,Hong Kong
Carlos Saura,/name/nm0767022/,"Huesca, Aragón, Spain"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
Michel Gondry,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Apichatpong Weerasethakul,/name/nm0917405/,"Bangkok, Thailand"
Hayao Miyazaki,/name/nm0594503/,"Tokyo, Japan"
Joshua Oppenheimer,/name/nm1484791/,"Texas, USA"
Wes Anderson,/name/nm0027572/,"Houston, Texas, USA"
Terrence Malick,/name/nm0000517/,"Ottawa, Illinois, USA"
Abbas Kiarostami,/name/nm0452102/,"Tehran, Iran"
Jia Zhangke,/name/nm0422605/,"Fenyang, Shanxi, China"
Gus Van Sant,/name/nm0001814/,"Louisville, Kentucky, USA"
Kathryn Bigelow,/name/nm0000941/,"San Carlos, California, USA"
David Cronenberg,/name/nm0000343/,"Toronto, Ontario, Canada"
Wes Anderson,/name/nm0027572/,"Houston, Texas, USA"
Sarah Polley,/name/nm0001631/,"Toronto, Ontario, Canada"
Martin Campbell,/name/nm0132709/,"Hastings, New Zealand"
Michel Gondry,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Miguel Gomes,/name/nm0326937/,"Lisbon, Portugal"
Pablo Berger,/name/nm0074311/,"Bilbao, Vizcaya, País Vasco, Spain"
Courtney Hunt,/name/nm2581581/,"Memphis, Tennessee, USA"
Robert Altman,/name/nm0000265/,"Kansas City, Missouri, USA"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
Christopher Nolan,/name/nm0634240/,"London, England, UK"
Guillermo Del Toro,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Michael Haneke,/name/nm0359734/,"Munich, Bavaria, Germany"
Werner Herzog,/name/nm0001348/,"Munich, Bavaria, Germany"
Cristian Mungiu,/name/nm0612816/,"Iasi, Romania"
Leos Carax,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
Claude Lanzmann,/name/nm0487351/,"Bois-Colombes, Hauts-de-Seine, France"
Paul Thomas Anderson,/name/nm0000759/,"Studio City, California, USA"
Michael Haneke,/name/nm0359734/,"Munich, Bavaria, Germany"
Kenneth Lonergan,/name/nm0518836/,"New York City, New York, USA"
Mary Harron,/name/nm0366004/,"Bracebridge, Ontario, Canada"
Cristian Mungiu,/name/nm0612816/,"Iasi, Romania"
Michael Haneke,/name/nm0359734/,"Munich, Bavaria, Germany"
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
Jessica Hausner,/name/nm0369618/,"Vienna, Austria"
Andrea Arnold,/name/nm0036349/,"Dartford, Kent, England, UK"
Richard Linklater,/name/nm0000500/,"Houston, Texas, USA"
Pablo Larraín,/name/nm1883257/,"Santiago, Chile"
Hayao Miyazaki,/name/nm0594503/,"Tokyo, Japan"
Asghar Farhadi,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Guillermo Del Toro,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Zhang Yimou,/name/nm0955443/,"Xi'an, Shaanxi, China"
Martin Scorsese,/name/nm0000217/,"Queens, New York City, New York, USA"
Bong Joon-ho,/name/nm0094435/,"Daegu, South Korea"
Paul Greengrass,/name/nm0339030/,"Cheam, Surrey, England, UK"
Steven Soderbergh,/name/nm0001752/,"Atlanta, Georgia, USA"
Marco Bellocchio,/name/nm0069166/,"Piacenza, Emilia-Romagna, Italy"
Michelangelo Frammartino,/name/nm1506005/,"Milan, Lombardy, Italy"
Ermanno Olmi,/name/nm0647438/,"Bergamo, Lombardy, Italy"
Paolo Benvenuti,/name/nm0073047/,"Pisa, Tuscany, Italy"
Luigi M. Faccini,/name/nm0264825/,"Lerici, Italy"
Franco Piavoli,/name/nm0681311/,"Pozzolengo, Lombardy, Italy"
Pippo Delbono,/name/nm2647632/,NaN
Charlie Kaufman,/name/nm0442109/,"New York City, New York, USA"
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
Michel Gondry,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Darren Aronofsky,/name/nm0004716/,"Brooklyn, New York City, New York, USA"
Rick Alverson,/name/nm3687830/,NaN
Lars von Trier,/name/nm0001885/,"Copenhagen, Denmark"
Quentin Tarantino,/name/nm0000233/,"Knoxville, Tennessee, USA"
Jim Jarmusch,/name/nm0000464/,"Akron, Ohio, USA"
Ari Folman,/name/nm0284369/,"Haifa, Israel"
Paul Thomas Anderson,/name/nm0000759/,"Studio City, California, USA"
Spike Lee,/name/nm0000490/,"Atlanta, Georgia, USA"
Michael Winterbottom,/name/nm0935863/,"Blackburn, Lancashire, England, UK"
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
Nuri Bilge Ceylan,/name/nm0149196/,"Istanbul, Turkey"
David Fincher,/name/nm0000399/,"Denver, Colorado, USA"
Tomas Alfredson,/name/nm0019247/,"Lidingö, Stockholms län, Sweden"
Shane Carruth,/name/nm1503403/,"Myrtle Beach, South Carolina, USA"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
Apichatpong Weerasethakul,/name/nm0917405/,"Bangkok, Thailand"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
Spike Jonze,/name/nm0005069/,"Rockville, Maryland, USA"
Carlos Reygadas,/name/nm1196161/,"Mexico City, Distrito Federal, Mexico"
Michael Haneke,/name/nm0359734/,"Munich, Bavaria, Germany"
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
Raoul Ruiz,/name/nm0749914/,"Puerto Montt, Chile"
Michel Gondry,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Paul Thomas Anderson,/name/nm0000759/,"Studio City, California, USA"
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
Alfonso Cuarón,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
Guillermo Del Toro,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Christopher Nolan,/name/nm0634240/,"London, England, UK"
Brad Bird,/name/nm0083348/,"Kalispell, Montana, USA"
