movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn
Mulholland Drive,David Lynch,2001,1,Simon Abrams,Freelance film critic,US,/name/nm0000186/,"Missoula, Montana, USA"
In the Mood for Love,Wong Kar-wai,2000,2,Simon Abrams,Freelance film critic,US,/name/nm0939182/,"Shanghai, China"
The Tree of Life,Terrence Malick,2011,3,Simon Abrams,Freelance film critic,US,/name/nm0000517/,"Ottawa, Illinois, USA"
Yi Yi: A One and a Two,Edward Yang,2000,4,Simon Abrams,Freelance film critic,US,/name/nm0945981/,"Shanghai, China"
Goodbye to Language,Jean-Luc Godard,2014,5,Simon Abrams,Freelance film critic,US,/name/nm0000419/,"Paris, France"
The White Meadows,Mohammad Rasoulof,2009,6,Simon Abrams,Freelance film critic,US,/name/nm1488024/,"Shiraz, Iran"
Night Across the Street,Raoul Ruiz,2012,7,Simon Abrams,Freelance film critic,US,/name/nm0749914/,"Puerto Montt, Chile"
Certified Copy,Abbas Kiarostami,2010,8,Simon Abrams,Freelance film critic,US,/name/nm0452102/,"Tehran, Iran"
Sparrow,Johnnie To,2008,9,Simon Abrams,Freelance film critic,US,/name/nm0864775/,Hong Kong
Fados,Carlos Saura,2007,10,Simon Abrams,Freelance film critic,US,/name/nm0767022/,"Huesca, Aragón, Spain"
In the Mood for Love,Wong Kar-wai,2000,1,Sam Adams,Freelance film critic,US,/name/nm0939182/,"Shanghai, China"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Sam Adams,Freelance film critic,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Syndromes and a Century,Apichatpong Weerasethakul,2006,3,Sam Adams,Freelance film critic,US,/name/nm0917405/,"Bangkok, Thailand"
Spirited Away,Hayao Miyazaki,2001,4,Sam Adams,Freelance film critic,US,/name/nm0594503/,"Tokyo, Japan"
The Act of Killing,Joshua Oppenheimer,2012,5,Sam Adams,Freelance film critic,US,/name/nm1484791/,"Texas, USA"
The Grand Budapest Hotel,Wes Anderson,2014,6,Sam Adams,Freelance film critic,US,/name/nm0027572/,"Houston, Texas, USA"
