movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn,dir_cn_geocode
Mulholland Drive,David Lynch,2001,1,Simon Abrams,Freelance film critic,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
In the Mood for Love,Wong Kar-wai,2000,2,Simon Abrams,Freelance film critic,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
The Tree of Life,Terrence Malick,2011,3,Simon Abrams,Freelance film critic,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Yi Yi: A One and a Two,Edward Yang,2000,4,Simon Abrams,Freelance film critic,US,/name/nm0945981/,"Shanghai, China","[31.2322758, 121.4692071]"
Goodbye to Language,Jean-Luc Godard,2014,5,Simon Abrams,Freelance film critic,US,/name/nm0000419/,"Paris, France","[48.8588897, 2.3200410217200766]"
The White Meadows,Mohammad Rasoulof,2009,6,Simon Abrams,Freelance film critic,US,/name/nm1488024/,"Shiraz, Iran","[29.6060218, 52.5378041]"
Night Across the Street,Raoul Ruiz,2012,7,Simon Abrams,Freelance film critic,US,/name/nm0749914/,"Puerto Montt, Chile","[-41.4718121, -72.939621]"
Certified Copy,Abbas Kiarostami,2010,8,Simon Abrams,Freelance film critic,US,/name/nm0452102/,"Tehran, Iran","[35.6892523, 51.3896004]"
Sparrow,Johnnie To,2008,9,Simon Abrams,Freelance film critic,US,/name/nm0864775/,Hong Kong,"[22.2793278, 114.1628131]"
Fados,Carlos Saura,2007,10,Simon Abrams,Freelance film critic,US,/name/nm0767022/,"Huesca, Aragón, Spain","[42.13606145, -0.029802662719165485]"
In the Mood for Love,Wong Kar-wai,2000,1,Sam Adams,Freelance film critic,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Sam Adams,Freelance film critic,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Syndromes and a Century,Apichatpong Weerasethakul,2006,3,Sam Adams,Freelance film critic,US,/name/nm0917405/,"Bangkok, Thailand","[13.7525438, 100.4934734]"
Spirited Away,Hayao Miyazaki,2001,4,Sam Adams,Freelance film critic,US,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
The Act of Killing,Joshua Oppenheimer,2012,5,Sam Adams,Freelance film critic,US,/name/nm1484791/,"Texas, USA","[31.168570000000003, -99.68300099546674]"
The Grand Budapest Hotel,Wes Anderson,2014,6,Sam Adams,Freelance film critic,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
The New World,Terrence Malick,2004,7,Sam Adams,Freelance film critic,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Certified Copy,Abbas Kiarostami,2010,8,Sam Adams,Freelance film critic,US,/name/nm0452102/,"Tehran, Iran","[35.6892523, 51.3896004]"
The World,Jia Zhangke,2004,9,Sam Adams,Freelance film critic,US,/name/nm0422605/,"Fenyang, Shanxi, China","[37.2683004, 111.7830029]"
Elephant,Gus Van Sant,2003,10,Sam Adams,Freelance film critic,US,/name/nm0001814/,"Louisville, Kentucky, USA","[38.2542376, -85.759407]"
Zero Dark Thirty,Kathryn Bigelow,2012,1,Thelma Adams,Freelance film critic,US,/name/nm0000941/,"San Carlos, California, USA","[37.504936, -122.261823]"
A History of Violence,David Cronenberg,2005,2,Thelma Adams,Freelance film critic,US,/name/nm0000343/,"Toronto, Ontario, Canada","[43.6534817, -79.3839347]"
The Grand Budapest Hotel,Wes Anderson,2014,3,Thelma Adams,Freelance film critic,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Stories We Tell,Sarah Polley,2012,4,Thelma Adams,Freelance film critic,US,/name/nm0001631/,"Toronto, Ontario, Canada","[43.6534817, -79.3839347]"
Casino Royale,Martin Campbell,2006,5,Thelma Adams,Freelance film critic,US,/name/nm0132709/,"Hastings, New Zealand","[-39.6417678, 176.8430781]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,6,Thelma Adams,Freelance film critic,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Tabu,Miguel Gomes,2012,7,Thelma Adams,Freelance film critic,US,/name/nm0326937/,"Lisbon, Portugal","[38.7077507, -9.1365919]"
Snow White,Pablo Berger,2012,8,Thelma Adams,Freelance film critic,US,/name/nm0074311/,"Bilbao, Vizcaya, País Vasco, Spain","[43.2630018, -2.9350039]"
Frozen River,Courtney Hunt,2008,9,Thelma Adams,Freelance film critic,US,/name/nm2581581/,"Memphis, Tennessee, USA","[35.1490215, -90.0516285]"
Gosford Park,Robert Altman,2001,10,Thelma Adams,Freelance film critic,US,/name/nm0000265/,"Kansas City, Missouri, USA","[39.100105, -94.5781416]"
In the Mood for Love,Wong Kar-wai,2000,1,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
