movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dominant_lang
Mulholland Drive,David Lynch,2001,1,Simon Abrams,Freelance film critic,US,/title/tt0166924/,English
In the Mood for Love,Wong Kar-wai,2000,2,Simon Abrams,Freelance film critic,US,/title/tt0118694/,Cantonese
The Tree of Life,Terrence Malick,2011,3,Simon Abrams,Freelance film critic,US,/title/tt0478304/,English
Yi Yi: A One and a Two,Edward Yang,2000,4,Simon Abrams,Freelance film critic,US,/title/tt0244316/,Mandarin
Goodbye to Language,Jean-Luc Godard,2014,5,Simon Abrams,Freelance film critic,US,/title/tt2400275/,French
The White Meadows,Mohammad Rasoulof,2009,6,Simon Abrams,Freelance film critic,US,/title/tt1509132/,Persian
Night Across the Street,Raoul Ruiz,2012,7,Simon Abrams,Freelance film critic,US,/title/tt1876360/,Spanish
Certified Copy,Abbas Kiarostami,2010,8,Simon Abrams,Freelance film critic,US,/title/tt1020773/,French
Sparrow,Johnnie To,2008,9,Simon Abrams,Freelance film critic,US,/title/tt0491044/,Cantonese
Fados,Carlos Saura,2007,10,Simon Abrams,Freelance film critic,US,/title/tt1056422/,Portuguese
In the Mood for Love,Wong Kar-wai,2000,1,Sam Adams,Freelance film critic,US,/title/tt0118694/,Cantonese
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Sam Adams,Freelance film critic,US,/title/tt0338013/,English
Syndromes and a Century,Apichatpong Weerasethakul,2006,3,Sam Adams,Freelance film critic,US,/title/tt0477731/,Thai
Spirited Away,Hayao Miyazaki,2001,4,Sam Adams,Freelance film critic,US,/title/tt0245429/,Japanese
The Act of Killing,Joshua Oppenheimer,2012,5,Sam Adams,Freelance film critic,US,/title/tt2375605/,Indonesian
The Grand Budapest Hotel,Wes Anderson,2014,6,Sam Adams,Freelance film critic,US,/title/tt2278388/,English
The New World,Terrence Malick,2004,7,Sam Adams,Freelance film critic,US,/title/tt0402399/,English
Certified Copy,Abbas Kiarostami,2010,8,Sam Adams,Freelance film critic,US,/title/tt1020773/,French
The World,Jia Zhangke,2004,9,Sam Adams,Freelance film critic,US,/title/tt0423176/,Mandarin
Elephant,Gus Van Sant,2003,10,Sam Adams,Freelance film critic,US,/title/tt0363589/,English
Zero Dark Thirty,Kathryn Bigelow,2012,1,Thelma Adams,Freelance film critic,US,/title/tt1790885/,English
A History of Violence,David Cronenberg,2005,2,Thelma Adams,Freelance film critic,US,/title/tt0399146/,English
The Grand Budapest Hotel,Wes Anderson,2014,3,Thelma Adams,Freelance film critic,US,/title/tt2278388/,English
Stories We Tell,Sarah Polley,2012,4,Thelma Adams,Freelance film critic,US,/title/tt2366450/,English
Casino Royale,Martin Campbell,2006,5,Thelma Adams,Freelance film critic,US,/title/tt0381061/,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,6,Thelma Adams,Freelance film critic,US,/title/tt0338013/,English
Tabu,Miguel Gomes,2012,7,Thelma Adams,Freelance film critic,US,/title/tt3647998/,English
Snow White,Pablo Berger,2012,8,Thelma Adams,Freelance film critic,US,/title/tt1735898/,English
Frozen River,Courtney Hunt,2008,9,Thelma Adams,Freelance film critic,US,/title/tt0978759/,English
Gosford Park,Robert Altman,2001,10,Thelma Adams,Freelance film critic,US,/title/tt0280707/,English
In the Mood for Love,Wong Kar-wai,2000,1,Arturo Aguilar,Rolling Stone Mexico,Mexico,/title/tt0118694/,Cantonese
Mulholland Drive,David Lynch,2001,2,Arturo Aguilar,Rolling Stone Mexico,Mexico,/title/tt0166924/,English
Inception,Christopher Nolan,2010,3,Arturo Aguilar,Rolling Stone Mexico,Mexico,/title/tt1375666/,English
Pan's Labyrinth,Guillermo Del Toro,2006,4,Arturo Aguilar,Rolling Stone Mexico,Mexico,/title/tt0457430/,Spanish
Caché,Michael Haneke,2005,5,Arturo Aguilar,Rolling Stone Mexico,Mexico,/title/tt0387898/,French
Grizzly Man,Werner Herzog,2005,6,Arturo Aguilar,Rolling Stone Mexico,Mexico,/title/tt0427312/,English
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,7,Arturo Aguilar,Rolling Stone Mexico,Mexico,/title/tt1032846/,Romanian
Holy Motors,Leos Carax,2012,8,Arturo Aguilar,Rolling Stone Mexico,Mexico,/title/tt2076220/,French
The Last of the Unjust,Claude Lanzmann,2013,9,Arturo Aguilar,Rolling Stone Mexico,Mexico,/title/tt2340784/,German
