name,link
Mulholland Drive,/title/tt0166924/
In the Mood for Love,/title/tt0118694/
The Tree of Life,/title/tt0478304/
Yi Yi: A One and a Two,/title/tt0244316/
Goodbye to Language,/title/tt2400275/
The White Meadows,/title/tt1509132/
Night Across the Street,/title/tt1876360/
Certified Copy,/title/tt1020773/
Sparrow,/title/tt0491044/
Fados,/title/tt1056422/
In the Mood for Love,/title/tt0118694/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
Syndromes and a Century,/title/tt0477731/
Spirited Away,/title/tt0245429/
The Act of Killing,/title/tt2375605/
The Grand Budapest Hotel,/title/tt2278388/
The New World,/title/tt0402399/
Certified Copy,/title/tt1020773/
The World,/title/tt0423176/
Elephant,/title/tt0363589/
Zero Dark Thirty,/title/tt1790885/
A History of Violence,/title/tt0399146/
The Grand Budapest Hotel,/title/tt2278388/
Stories We Tell,/title/tt2366450/
Casino Royale,/title/tt0381061/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
Tabu,/title/tt3647998/
Snow White,/title/tt1735898/
Frozen River,/title/tt0978759/
Gosford Park,/title/tt0280707/
In the Mood for Love,/title/tt0118694/
Mulholland Drive,/title/tt0166924/
Inception,/title/tt1375666/
Pan's Labyrinth,/title/tt0457430/
Caché,/title/tt0387898/
Grizzly Man,/title/tt0427312/
"4 Months, 3 Weeks & 2 Days",/title/tt1032846/
Holy Motors,/title/tt2076220/
The Last of the Unjust,/title/tt2340784/
There Will Be Blood,/title/tt0469494/
The Piano Teacher,/title/tt0254686/
Margaret,/title/tt3777860/
American Psycho,/title/tt0144084/
"4 Months, 3 Weeks & 2 Days",/title/tt1032846/
Caché,/title/tt0387898/
Mulholland Drive,/title/tt0166924/
Lourdes,/title/tt1405809/
Red Road,/title/tt0471030/
Boyhood,/title/tt1065073/
Tony Manero,/title/tt1223975/
No Country For Old Men,/title/tt0477348/
Spirited Away,/title/tt0245429/
A Separation,/title/tt1832382/
Pan's Labyrinth,/title/tt0457430/
Finding Nemo,/title/tt0266543/
Hero,/title/tt0299977/
The Wolf of Wall Street,/title/tt0993846/
Mother,/title/tt5109784/
The Bourne Ultimatum,/title/tt0440963/
Traffic,/title/tt0181865/
These Encounters of Theirs,/title/tt0815227/
Vincere,/title/tt1156173/
Le quattro volte,/title/tt1646975/
The Profession of Arms,/title/tt0245276/
Gostanza da Libbiano,/title/tt0257726/
At the First Breath of Wind,/title/tt0328825/
Sangue,/title/tt3102590/
Terra,/title/tt0858486/
Oh! Man,/title/tt0431958/
"Synecdoche, New York",/title/tt0383028/
Mulholland Drive,/title/tt0166924/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
Black Swan,/title/tt0947798/
The Comedy,/title/tt2112293/
Melancholia,/title/tt1527186/
Inglourious Basterds,/title/tt0361748/
Inside Llewyn Davis,/title/tt2042568/
Only Lovers Left Alive,/title/tt1714915/
The Congress,/title/tt1821641/
The Master,/title/tt1560747/
25th Hour,/title/tt0307901/
24 Hour Party People,/title/tt0274309/
Mulholland Drive,/title/tt0166924/
Once Upon a Time in Anatolia,/title/tt1827487/
Zodiac,/title/tt0443706/
A Serious Man,/title/tt1019452/
Tinker Tailor Soldier Spy,/title/tt1340800/
Primer,/title/tt0390384/
In the Mood for Love,/title/tt0118694/
"La commune (Paris, 1871)",/title/tt0257497/
Uncle Boonmee Who Can Recall His Past Lives,/title/tt1588895/
2046,/title/tt0212712/
Adaptation,/title/tt0268126/
Battle in Heaven,/title/tt0387055/
Caché,/title/tt0387898/
Inland Empire,/title/tt0460829/
Mulholland Drive,/title/tt0166924/
Mysteries of Lisbon,/title/tt1236371/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
There Will Be Blood,/title/tt0469494/
Mulholland Drive,/title/tt0166924/
Children of Men,/title/tt0206634/
City of God,/title/tt0317248/
Pan's Labyrinth,/title/tt0457430/
Inception,/title/tt1375666/
The Incredibles,/title/tt0317705/
Birdman,/title/tt2562232/
No Country For Old Men,/title/tt0477348/
Brokeback Mountain,/title/tt0388795/
In the Mood for Love,/title/tt0118694/
12 Years a Slave,/title/tt2024544/
Spirited Away,/title/tt0245429/
Fish Tank,/title/tt1232776/
Mommy,/title/tt3612616/
Talk to Her,/title/tt0287467/
Timbuktu,/title/tt3409392/
Selma,/title/tt1020072/
The White Ribbon,/title/tt1149362/
The Headless Woman,/title/tt1221141/
The Royal Tenenbaums,/title/tt0265666/
Far From Heaven,/title/tt0297884/
Moonrise Kingdom,/title/tt1748122/
Lost in Translation,/title/tt0335266/
A Single Man,/title/tt1315981/
Spirited Away,/title/tt0245429/
Toy Story 3,/title/tt0435761/
Eternal Sunshine of the Spotless Mind,/title/tt0338013/
I Am Love,/title/tt1226236/
Donnie Darko,/title/tt0246578/
